stat,value
mean,1.4013084657635
std,3.644004103549496
min,0.0011089757987947
max,383.7808532714844
median (50%),1.04063301375418
10%,0.2149104850460784
25%,0.4958876696499911
75%,1.821511401070489
90%,2.6182144983850346
95%,3.118860688835683
99%,5.855796906442361
pct_below_1.5,66.23268311888462
