stat,value
mean,1.43107181274914
std,4.464619878389496
min,0.0037708071747211
max,572.4822998046875
median (50%),1.1574795896356755
10%,0.30559340811739066
25%,0.6338050762812296
75%,1.853118048773872
90%,2.606060400876132
95%,3.0983750998371766
99%,4.240306117317893
pct_below_1.5,63.93269669347891
